Object Name,ESX Cluster,Datastore
linux-minimal-0322,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0323,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0324,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0325,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0326,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0327,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0328,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0329,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0330,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0331,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0332,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0333,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0334,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0335,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0336,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0337,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0338,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0339,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0340,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0341,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0342,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0343,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0344,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0345,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0346,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0347,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0348,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0349,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0350,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0351,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0352,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0353,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0354,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0355,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0356,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0357,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0358,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0359,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0360,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0361,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0362,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0363,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0364,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0365,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0366,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0367,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0368,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0369,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0370,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0371,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0372,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0373,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0374,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0375,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0376,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0377,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0378,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0379,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0380,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0381,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0382,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0383,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0384,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0385,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0386,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0387,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0388,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0389,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0390,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0391,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0392,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0393,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0394,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0395,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0396,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0397,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0398,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0399,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0400,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0401,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0402,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0403,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0404,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0405,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0406,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0407,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0408,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0409,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0410,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0411,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0412,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0413,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0414,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0415,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0416,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0417,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0418,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0419,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0420,poc01-67-cluster02,PURE-DS1-10TB
